ID,String
"8db63936938575bf",""
"ch_eagle_eyes","Point out a special enemy using the "shout out" command."
"8db63936938575bf",""
"ch_stand_together_hl","Stand together"
"8db63936938575bf",""
"ch_revive_3_hl","A helping hand III"
"ch_beretta92_vs_the_law_4_hl","B9-S VS. the Law IV"
"ch_bomb_man_hl","Bomb man"
"8db63936938575bf",""
"ch_eagle_eyes_hl","Eagle eyes"
"8db63936938575bf",""
"ch_bleed_out_kill_1_hl","Wait, I'm not dead yet! I"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_revive","Revive or uncuff any teammate ##revive## times."
"ch_ak47_vs_the_law_5_hl","AK VS. the Law V"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_aquire_money_5_hl","...and that's a lot of cash V"
"ch_revive_1_hl","A helping hand I"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_quad_tripmine","Defeat four Law enforcers with a single Trip Mine."
"8db63936938575bf",""
"ch_revive_4_hl","A helping hand IV"
"ch_last_man_standing","Beat a heist after having been the only one alive. (4 teammates)."
"ch_m4_head_shots_3_hl","Amcar-4 expert III"
"ch_aquire_money_1_hl","...and that's a lot of cash I"
"ch_suburbia_no_bleedouts_hl","COUNTERFEIT: Bulletproof"
"ch_m14_vs_the_law_1_hl","M308 VS. the Law I"
"ch_beretta92_vs_the_law_1_hl","B9-S VS. the Law I"
"ch_reinbeck_spooc_kill","Using the Reinbeck 880, defeat ##reinbeck_spooc_kill## Cloakers. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mossberg_head_shots_1_hl","Locomotive 12G expert I"
"ch_hk21_head_shots","Using the Brenner 21, defeat ##hk21_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"ch_aquire_money_10","Acquire $1,000,000,000 in cash."
"8db63936938575bf",""
"ch_bridge_no_civilians_hl","Green Bridge: Clean hit"
"8db63936938575bf",""
